Age group,year,week,case_definition,White,Black/African American,American Indian,Asian/Pacific Islander,Multiracial,Hispanic,webDate
19-44,2021,13,Completed vaccine series,16%,9.40%,16.50%,12.60%,7.20%,8.30%,9/16/2022
18-Dec,2021,13,Completed vaccine series,0.60%,0.30%,0.50%,0.60%,0.10%,0.40%,9/16/2022
12+,2021,13,Completed vaccine series,28.20%,14%,23.80%,16.70%,8.70%,10%,9/16/2022
65+,2021,12,At least one vaccine dose,84.50%,75%,71.90%,83.60%,64.80%,63.50%,9/16/2022
45-64,2021,12,At least one vaccine dose,33.30%,32.30%,39.80%,34.40%,24.30%,29%,9/16/2022
19-44,2021,12,At least one vaccine dose,22.90%,13%,21.50%,19.50%,10.40%,14.50%,9/16/2022
18-Dec,2021,12,At least one vaccine dose,1.80%,0.70%,1.50%,1.90%,0.40%,1.10%,9/16/2022
12+,2021,12,At least one vaccine dose,37.30%,19.90%,29.20%,25.40%,12.10%,17.50%,9/16/2022
65+,2021,12,Completed vaccine series,65.10%,49.60%,62.20%,58.80%,47.50%,44.10%,9/16/2022
45-64,2021,12,Completed vaccine series,16.20%,17%,29.20%,14.40%,12.70%,10.10%,9/16/2022
19-44,2021,12,Completed vaccine series,13.60%,7.80%,14.20%,10.40%,5.90%,6.70%,9/16/2022
18-Dec,2021,12,Completed vaccine series,0.40%,0.20%,0.30%,0.40%,0.10%,0.20%,9/16/2022
12+,2021,12,Completed vaccine series,24%,11.60%,21.60%,13.70%,7.10%,8%,9/16/2022
65+,2021,11,At least one vaccine dose,82.30%,70.20%,70.40%,79.50%,62.20%,60.10%,9/16/2022
45-64,2021,11,At least one vaccine dose,27.10%,26.40%,36.90%,25.80%,19.80%,21.30%,9/16/2022
19-44,2021,11,At least one vaccine dose,19.40%,11%,19.30%,15.70%,8.70%,11.10%,9/16/2022
18-Dec,2021,11,At least one vaccine dose,1.10%,0.50%,0.90%,1.20%,0.20%,0.60%,9/16/2022
12+,2021,11,At least one vaccine dose,33.40%,17%,27.10%,20.90%,10.40%,13.70%,9/16/2022
65+,2021,11,Completed vaccine series,53.30%,41.40%,58.90%,45.10%,39%,36.10%,9/16/2022
45-64,2021,11,Completed vaccine series,14.10%,14.90%,26.60%,12.20%,11.20%,8.40%,9/16/2022
19-44,2021,11,Completed vaccine series,12.10%,6.80%,12.20%,9.20%,5.20%,5.80%,9/16/2022
18-Dec,2021,11,Completed vaccine series,0.40%,0.20%,0.30%,0.30%,0.10%,0.20%,9/16/2022
12+,2021,11,Completed vaccine series,20.30%,10%,19.60%,11.40%,6.20%,6.70%,9/16/2022
65+,2021,10,At least one vaccine dose,79%,64.10%,68.30%,74%,58.80%,56.10%,9/16/2022
11-May,2021,10,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,10,At least one vaccine dose,27.20%,12.30%,21.50%,15.10%,6.80%,8.40%,9/16/2022
45-64,2021,10,At least one vaccine dose,21%,21.30%,33.80%,18.70%,16.10%,13.70%,9/16/2022
19-44,2021,10,At least one vaccine dose,16.50%,9.50%,17.30%,12.80%,7.40%,7.90%,9/16/2022
18-Dec,2021,10,At least one vaccine dose,0.70%,0.30%,0.70%,0.80%,0.10%,0.40%,9/16/2022
12+,2021,10,At least one vaccine dose,29.60%,14.50%,25.10%,17.20%,8.90%,10.10%,9/16/2022
65+,2021,10,Completed vaccine series,43.30%,34.50%,55.20%,34.50%,32.50%,29.40%,9/16/2022
11-May,2021,10,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,10,Completed vaccine series,16%,7.40%,15.20%,8.70%,4.10%,4.70%,9/16/2022
45-64,2021,10,Completed vaccine series,12.80%,13.10%,24.20%,10.90%,10.10%,6.80%,9/16/2022
19-44,2021,10,Completed vaccine series,11.20%,6.10%,10.40%,8.40%,4.60%,4.90%,9/16/2022
18-Dec,2021,10,Completed vaccine series,0.30%,0.10%,0.20%,0.30%,0.10%,0.20%,9/16/2022
12+,2021,10,Completed vaccine series,17.50%,8.70%,17.70%,9.90%,5.40%,5.60%,9/16/2022
65+,2021,9,At least one vaccine dose,69.80%,52.20%,64.90%,61.50%,50.30%,47.30%,9/16/2022
11-May,2021,9,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,9,At least one vaccine dose,23.30%,10.40%,19.90%,12.30%,5.80%,6.70%,9/16/2022
45-64,2021,9,At least one vaccine dose,16.60%,18%,31.20%,14.20%,13.30%,9.90%,9/16/2022
19-44,2021,9,At least one vaccine dose,14.20%,8.30%,15.70%,10.70%,6.20%,6.40%,9/16/2022
18-Dec,2021,9,At least one vaccine dose,0.50%,0.20%,0.50%,0.40%,0.10%,0.30%,9/16/2022
12+,2021,9,At least one vaccine dose,25.40%,12.30%,23.20%,14%,7.50%,8%,9/16/2022
65+,2021,9,Completed vaccine series,33.70%,26.10%,50.80%,24.50%,24.50%,22.80%,9/16/2022
45-64,2021,9,Completed vaccine series,11%,11.30%,20.80%,9.60%,8.60%,5.70%,9/16/2022
19-44,2021,9,Completed vaccine series,10%,5.30%,8.60%,7.70%,4%,4.30%,9/16/2022
18-Dec,2021,9,Completed vaccine series,0.30%,0.10%,0%,0.20%,0.10%,0.20%,9/16/2022
12+,2021,9,Completed vaccine series,14.40%,7.30%,15.40%,8.40%,4.50%,4.70%,9/16/2022
65+,2021,8,At least one vaccine dose,56.10%,43.10%,60.90%,46.70%,40.40%,37.30%,9/16/2022
11-May,2021,8,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,8,At least one vaccine dose,19.60%,9%,18.50%,10.30%,5%,5.70%,9/16/2022
45-64,2021,8,At least one vaccine dose,14.70%,15.90%,29.50%,12.10%,11.80%,8.30%,9/16/2022
19-44,2021,8,At least one vaccine dose,12.90%,7.50%,14.20%,9.50%,5.60%,5.70%,9/16/2022
18-Dec,2021,8,At least one vaccine dose,0.40%,0.20%,0.50%,0.40%,0.10%,0.20%,9/16/2022
12+,2021,8,At least one vaccine dose,21.40%,10.70%,21.60%,11.70%,6.50%,6.80%,9/16/2022
65+,2021,8,Completed vaccine series,24.50%,18.80%,45.40%,16.90%,17.40%,15.70%,9/16/2022
45-64,2021,8,Completed vaccine series,9.20%,9.30%,16.80%,8.20%,7.10%,4.60%,9/16/2022
19-44,2021,8,Completed vaccine series,8.60%,4.40%,6.50%,6.70%,3.30%,3.60%,9/16/2022
18-Dec,2021,8,Completed vaccine series,0.20%,0.10%,0%,0.20%,0%,0.10%,9/16/2022
12+,2021,8,Completed vaccine series,11.30%,5.90%,12.70%,7%,3.60%,3.70%,9/16/2022
65+,2021,7,At least one vaccine dose,44.60%,35.60%,57.80%,35.10%,32.60%,30.30%,9/16/2022
11-May,2021,7,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,7,At least one vaccine dose,16.40%,7.90%,17.20%,8.80%,4.30%,4.90%,9/16/2022
45-64,2021,7,At least one vaccine dose,12.90%,14.20%,27.50%,10.70%,10.50%,7%,9/16/2022
19-44,2021,7,At least one vaccine dose,11.50%,6.70%,12.80%,8.50%,4.90%,5.10%,9/16/2022
18-Dec,2021,7,At least one vaccine dose,0.40%,0.20%,0.30%,0.30%,0.10%,0.20%,9/16/2022
12+,2021,7,At least one vaccine dose,17.90%,9.40%,20%,10%,5.60%,5.80%,9/16/2022
65+,2021,7,Completed vaccine series,16.70%,10.90%,38.90%,10.70%,11.90%,9.20%,9/16/2022
45-64,2021,7,Completed vaccine series,7.60%,7.40%,13%,7.10%,5.90%,3.50%,9/16/2022
19-44,2021,7,Completed vaccine series,7.30%,3.50%,5.10%,5.80%,2.80%,2.90%,9/16/2022
18-Dec,2021,7,Completed vaccine series,0.20%,0.10%,0%,0.10%,0%,0.10%,9/16/2022
12+,2021,7,Completed vaccine series,8.70%,4.40%,10.30%,5.70%,2.90%,2.80%,9/16/2022
65+,2021,6,At least one vaccine dose,38.40%,30.20%,55.20%,28%,28.30%,25.50%,9/16/2022
11-May,2021,6,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,6,At least one vaccine dose,14.80%,7.10%,15.60%,8%,3.90%,4.40%,9/16/2022
45-64,2021,6,At least one vaccine dose,12.20%,13%,25.20%,10.10%,9.70%,6.50%,9/16/2022
19-44,2021,6,At least one vaccine dose,11%,6.20%,11%,8.10%,4.50%,4.80%,9/16/2022
18-Dec,2021,6,At least one vaccine dose,0.30%,0.10%,0.20%,0.30%,0.10%,0.20%,9/16/2022
12+,2021,6,At least one vaccine dose,16.10%,8.50%,18.20%,9.10%,5.10%,5.30%,9/16/2022
65+,2021,6,Completed vaccine series,8%,5.10%,30.90%,4.40%,6.70%,4%,9/16/2022
45-64,2021,6,Completed vaccine series,6%,5.90%,9.60%,6%,4.80%,2.80%,9/16/2022
19-44,2021,6,Completed vaccine series,5.90%,2.80%,3.80%,4.80%,2.20%,2.30%,9/16/2022
18-Dec,2021,6,Completed vaccine series,0.10%,0%,0%,0.10%,0%,0.10%,9/16/2022
12+,2021,6,Completed vaccine series,5.80%,3.30%,7.80%,4.50%,2.20%,2.10%,9/16/2022
65+,2021,5,At least one vaccine dose,29.60%,23.50%,51.40%,20.40%,21.50%,19.50%,9/16/2022
11-May,2021,5,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,5,At least one vaccine dose,12.40%,6.10%,13.70%,7%,3.30%,3.80%,9/16/2022
45-64,2021,5,At least one vaccine dose,10.90%,11.40%,21.80%,9.20%,8.50%,5.60%,9/16/2022
19-44,2021,5,At least one vaccine dose,10%,5.50%,9.20%,7.50%,4%,4.30%,9/16/2022
18-Dec,2021,5,At least one vaccine dose,0.30%,0.10%,0%,0.30%,0.10%,0.20%,9/16/2022
12+,2021,5,At least one vaccine dose,13.50%,7.20%,16%,7.90%,4.30%,4.50%,9/16/2022
65+,2021,5,Completed vaccine series,3.20%,3%,23.30%,2.20%,3.80%,1.90%,9/16/2022
45-64,2021,5,Completed vaccine series,4.50%,4.60%,7.10%,5.10%,3.80%,2%,9/16/2022
19-44,2021,5,Completed vaccine series,4.70%,2.20%,2.80%,4%,1.70%,1.80%,9/16/2022
18-Dec,2021,5,Completed vaccine series,0.10%,0%,0%,0.10%,0%,0.10%,9/16/2022
12+,2021,5,Completed vaccine series,3.90%,2.50%,5.90%,3.60%,1.60%,1.50%,9/16/2022
65+,2021,4,At least one vaccine dose,20.70%,16.60%,45.90%,14.10%,15.30%,13.10%,9/16/2022
11-May,2021,4,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,4,At least one vaccine dose,9.60%,4.90%,11.20%,5.90%,2.70%,3%,9/16/2022
45-64,2021,4,At least one vaccine dose,9.10%,9.40%,17.50%,8.10%,7.20%,4.50%,9/16/2022
19-44,2021,4,At least one vaccine dose,8.50%,4.50%,6.80%,6.70%,3.40%,3.60%,9/16/2022
18-Dec,2021,4,At least one vaccine dose,0.20%,0.10%,0%,0.20%,0%,0.10%,9/16/2022
12+,2021,4,At least one vaccine dose,10.50%,5.80%,13.10%,6.70%,3.50%,3.60%,9/16/2022
65+,2021,4,Completed vaccine series,1.70%,1.80%,14.10%,1.50%,2.10%,1.10%,9/16/2022
45-64,2021,4,Completed vaccine series,3.30%,3.20%,5.20%,4%,3%,1.40%,9/16/2022
19-44,2021,4,Completed vaccine series,3.60%,1.60%,2.20%,3.10%,1.40%,1.30%,9/16/2022
18-Dec,2021,4,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2021,4,Completed vaccine series,2.80%,1.80%,4%,2.80%,1.30%,1%,9/16/2022
65+,2021,3,At least one vaccine dose,10.70%,7.80%,38.90%,7.20%,8.70%,5.90%,9/16/2022
11-May,2021,3,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,3,At least one vaccine dose,6.40%,3.50%,8.80%,4.50%,2%,2.10%,9/16/2022
45-64,2021,3,At least one vaccine dose,6.90%,7.30%,13.30%,6.70%,5.60%,3.20%,9/16/2022
19-44,2021,3,At least one vaccine dose,6.60%,3.40%,5%,5.40%,2.60%,2.70%,9/16/2022
18-Dec,2021,3,At least one vaccine dose,0.20%,0%,0%,0.10%,0%,0.10%,9/16/2022
12+,2021,3,At least one vaccine dose,7%,4.10%,10.30%,5.10%,2.60%,2.50%,9/16/2022
65+,2021,3,Completed vaccine series,0.70%,0.50%,5.70%,0.80%,0.90%,0.40%,9/16/2022
45-64,2021,3,Completed vaccine series,2%,1.60%,2.30%,2.70%,1.80%,0.80%,9/16/2022
19-44,2021,3,Completed vaccine series,2.30%,0.80%,1.10%,1.90%,0.90%,0.70%,9/16/2022
18-Dec,2021,3,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2021,3,Completed vaccine series,1.60%,0.90%,1.80%,1.70%,0.80%,0.60%,9/16/2022
65+,2021,2,At least one vaccine dose,5.30%,4.20%,30.50%,2.90%,5.60%,2.80%,9/16/2022
11-May,2021,2,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,2,At least one vaccine dose,4.40%,2.60%,6.50%,3.50%,1.50%,1.50%,9/16/2022
45-64,2021,2,At least one vaccine dose,5.20%,5.60%,9.30%,5.50%,4.40%,2.40%,9/16/2022
19-44,2021,2,At least one vaccine dose,5.30%,2.70%,3.60%,4.50%,2%,2.10%,9/16/2022
18-Dec,2021,2,At least one vaccine dose,0.10%,0%,0%,0.10%,0%,0.10%,9/16/2022
12+,2021,2,At least one vaccine dose,4.80%,3.10%,7.60%,4%,2%,1.80%,9/16/2022
65+,2021,2,Completed vaccine series,0.40%,0.30%,4.80%,0.40%,0.70%,0.20%,9/16/2022
45-64,2021,2,Completed vaccine series,1.20%,0.90%,1.90%,1.70%,1.30%,0.40%,9/16/2022
19-44,2021,2,Completed vaccine series,1.40%,0.40%,0.80%,1.10%,0.60%,0.40%,9/16/2022
18-Dec,2021,2,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2021,2,Completed vaccine series,1%,0.50%,1.40%,1%,0.50%,0.30%,9/16/2022
65+,2021,1,At least one vaccine dose,2.90%,2.90%,23.30%,1.90%,3.60%,1.60%,9/16/2022
11-May,2021,1,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,1,At least one vaccine dose,3.20%,1.90%,5%,2.80%,1.20%,1.10%,9/16/2022
45-64,2021,1,At least one vaccine dose,4%,4.30%,7.10%,4.50%,3.50%,1.80%,9/16/2022
19-44,2021,1,At least one vaccine dose,4.30%,2%,2.80%,3.50%,1.60%,1.60%,9/16/2022
18-Dec,2021,1,At least one vaccine dose,0.10%,0%,0%,0%,0%,0%,9/16/2022
12+,2021,1,At least one vaccine dose,3.50%,2.30%,5.80%,3.10%,1.50%,1.30%,9/16/2022
65+,2021,1,Completed vaccine series,0.10%,0.10%,4.20%,0.10%,0.30%,0%,9/16/2022
11-May,2021,1,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,1,Completed vaccine series,0.20%,0.10%,0.90%,0.30%,0.10%,0.10%,9/16/2022
45-64,2021,1,Completed vaccine series,0.30%,0.30%,1.20%,0.60%,0.40%,0.10%,9/16/2022
19-44,2021,1,Completed vaccine series,0.30%,0.10%,0.40%,0.30%,0.20%,0.10%,9/16/2022
18-Dec,2021,1,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2021,1,Completed vaccine series,0.20%,0.20%,1%,0.30%,0.20%,0.10%,9/16/2022
65+,2020,53,At least one vaccine dose,1.40%,1.50%,11.30%,1.10%,1.70%,0.90%,9/16/2022
45-64,2020,53,At least one vaccine dose,2.40%,2.40%,3.60%,2.90%,2.20%,1%,9/16/2022
19-44,2020,53,At least one vaccine dose,2.70%,1.10%,1.70%,2.20%,1%,0.90%,9/16/2022
18-Dec,2020,53,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2020,53,At least one vaccine dose,2.10%,1.30%,3.10%,2%,0.90%,0.70%,9/16/2022
65+,2020,53,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,53,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,53,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
18-Dec,2020,53,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2020,53,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,52,At least one vaccine dose,0.30%,0.20%,5.30%,0.40%,0.60%,0.10%,9/16/2022
45-64,2020,52,At least one vaccine dose,1.10%,0.90%,1.90%,1.70%,1.30%,0.40%,9/16/2022
19-44,2020,52,At least one vaccine dose,1.40%,0.40%,0.90%,1.10%,0.50%,0.40%,9/16/2022
18-Dec,2020,52,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2020,52,At least one vaccine dose,0.90%,0.50%,1.60%,1%,0.50%,0.30%,9/16/2022
65+,2020,52,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,52,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,52,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,51,At least one vaccine dose,0.10%,0%,4.20%,0%,0%,0%,9/16/2022
11-May,2020,51,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2020,51,At least one vaccine dose,0.10%,0%,0.80%,0.10%,0.10%,0%,9/16/2022
45-64,2020,51,At least one vaccine dose,0.20%,0.10%,1.10%,0.20%,0.20%,0.10%,9/16/2022
19-44,2020,51,At least one vaccine dose,0.20%,0%,0.40%,0.10%,0.10%,0.10%,9/16/2022
18-Dec,2020,51,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2020,51,At least one vaccine dose,0.10%,0.10%,1%,0.10%,0.10%,0%,9/16/2022
65+,2020,51,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,51,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,51,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
18-Dec,2020,51,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,50,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
11-May,2020,50,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,50,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,50,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,50,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,50,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,50,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,49,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,49,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,49,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,49,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
11-May,2020,49,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,49,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,49,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,48,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,48,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,48,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,48,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,48,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,48,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,47,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,47,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,47,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
18-Dec,2020,47,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
12+,2020,47,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,47,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,47,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,47,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
18-Dec,2020,47,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,46,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
11-May,2020,46,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,46,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,46,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,46,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,46,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,46,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,45,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,45,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,45,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,45,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,45,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,45,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,44,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,44,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,44,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,44,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,44,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,43,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,43,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,43,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,43,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,42,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,42,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,42,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,42,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,41,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
45-64,2020,41,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,41,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
65+,2020,41,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,41,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
19-44,2020,40,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
